"","t","s","date","activity_type","ideal_value","measure_type","baseline_value"
"1",1,"C_999",2024-03-01,"first",1461445.24560562,"activity",1458282.14779604
"2",1,"C_999",2024-03-01,"fups",3281279.32041813,"activity",3274177.44132806
"3",1,"C_999",2024-03-01,"ncl",589835.152199908,"activity",588558.534903743
"4",1,"C_999",2024-03-01,"cl",3244894.7956586,"activity",3237871.66588255
"5",1,"C_999",2024-03-01,"proc",907994.618165247,"activity",906029.388337809
"6",1,"C_999",2024-03-01,"non_proc",3834729.9478585,"activity",3826430.20078629
"7",1,"C_999",2024-03-01,"dc",218226.898631331,"activity",217754.576437169
"8",1,"C_999",2024-03-01,"ord",48831.3666286013,"activity",48725.6778323318
"9",2,"C_999",2024-04-01,"first",1467632.07187548,"activity",1461285.97025573
"10",2,"C_999",2024-04-01,"fups",3295170.16248653,"activity",3280921.71077561
"11",2,"C_999",2024-04-01,"ncl",592332.137718518,"activity",589770.869120863
"12",2,"C_999",2024-04-01,"cl",3258631.60887488,"activity",3244541.15137703
"13",2,"C_999",2024-04-01,"proc",911838.487768607,"activity",907895.660533451
"14",2,"C_999",2024-04-01,"non_proc",3850963.7465934,"activity",3834312.02049789
"15",2,"C_999",2024-04-01,"dc",219150.732017017,"activity",218203.115211638
"16",2,"C_999",2024-04-01,"ord",49038.0874638563,"activity",48826.0447508035
"17",3,"C_999",2024-05-01,"first",1473845.08921847,"activity",1464295.98009788
"18",3,"C_999",2024-05-01,"fups",3309119.80951315,"activity",3287679.87231398
"19",3,"C_999",2024-05-01,"ncl",594839.693879886,"activity",590985.700547975
"20",3,"C_999",2024-05-01,"cl",3272426.57498956,"activity",3251224.37491963
"21",3,"C_999",2024-05-01,"proc",915698.629862169,"activity",909765.776944251
"22",3,"C_999",2024-05-01,"non_proc",3867266.26886945,"activity",3842210.07546761
"23",3,"C_999",2024-05-01,"dc",220078.476323538,"activity",218652.577902544
"24",3,"C_999",2024-05-01,"ord",49245.6834231695,"activity",48926.6184086942
"25",4,"C_999",2024-06-01,"first",1480084.40851086,"activity",1467312.19006747
"26",4,"C_999",2024-06-01,"fups",3323128.51044066,"activity",3294451.9545586
"27",4,"C_999",2024-06-01,"ncl",597357.865433366,"activity",592203.034328922
"28",4,"C_999",2024-06-01,"cl",3286279.94018489,"activity",3257921.36480849
"29",4,"C_999",2024-06-01,"proc",919575.113333268,"activity",911639.745488662
"30",4,"C_999",2024-06-01,"non_proc",3883637.80561825,"activity",3850124.39913741
"31",4,"C_999",2024-06-01,"dc",221010.148107236,"activity",219102.966413002
"32",4,"C_999",2024-06-01,"ord",49454.1582112574,"activity",49027.3992318532
"33",5,"C_999",2024-07-01,"first",1486350.14109833,"activity",1470334.61293575
"34",5,"C_999",2024-07-01,"fups",3337196.51526557,"activity",3301237.98618386
"35",5,"C_999",2024-07-01,"ncl",599886.697317752,"activity",593422.875618144
"36",5,"C_999",2024-07-01,"cl",3300191.95168528,"activity",3264632.14940002
"37",5,"C_999",2024-07-01,"proc",923468.007360868,"activity",913517.57410145
"38",5,"C_999",2024-07-01,"non_proc",3900078.64900303,"activity",3858055.02501816
"39",5,"C_999",2024-07-01,"dc",221945.763994541,"activity",219554.28265005
"40",5,"C_999",2024-07-01,"ord",49663.5155485202,"activity",49128.387647007
"41",6,"C_999",2024-08-01,"first",1492642.3987979,"activity",1473363.26150028
"42",6,"C_999",2024-08-01,"fups",3351324.07504272,"activity",3308037.99592318
"43",6,"C_999",2024-08-01,"ncl",602426.23466208,"activity",594645.229580696
"44",6,"C_999",2024-08-01,"cl",3314162.85776175,"activity",3271356.75710905
"45",6,"C_999",2024-08-01,"proc",927377.381416787,"activity",915399.270733723
"46",6,"C_999",2024-08-01,"non_proc",3916589.09242383,"activity",3866001.98668974
"47",6,"C_999",2024-08-01,"dc",222885.340682272,"activity",220006.528524652
"48",6,"C_999",2024-08-01,"ord",49873.7591711076,"activity",49229.5840817612
"49",7,"C_999",2024-09-01,"first",1498961.29389996,"activity",1476398.14858498
